sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,name,description,short_description,price,special_price,special_from_date,special_to_date,cost,weight,manufacturer,meta_title,meta_keyword,meta_description,image,small_image,thumbnail,media_gallery,color,news_from_date,news_to_date,gallery,status,url_key,url_path,minimal_price,visibility,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,options_container,required_options,has_options,image_label,small_image_label,thumbnail_label,created_at,updated_at,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,msrp,tax_class_id,gift_message_available,watch_brand,bransom_code,jewellery_type,designer,gender,metal,gemstone,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
4801215,,Jewellery,simple,,Default Category,base,ASXAS MARQ CZ BY THE YARD SLVER,,,45.00,,,,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,NTB790-S,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801216,,Jewellery,simple,,Default Category,base,ASXAS MARQ CZ BY THE YARD ROSE,,,45.00,,,,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,NTB790-R,*ADJUST ME*,,Female,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801226,,Jewellery,simple,,Default Category,base,ASXAS MARQ CZ BY THE YARD Y,,,45.00,,,,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,NTB790-Y,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801230,,Jewellery,simple,,Default Category,base,ASXAS ROSE MESH/SPACER BARS,,,45.00,,,,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,NTB632-R,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801237,,Jewellery,simple,,Default Category,base,ASXAS YELLOW DOUBLE ROW BALL,,,48.00,,,,17.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,NTB746-Y,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801138,,Jewellery,simple,,Default Category,base,ASXAS FINE CZ BAR CHAIN SILVER,,,49.00,,,,19.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/12,,,,,,,,,NTB445S,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801203,,Jewellery,simple,,Default Category,base,ASXAS MESH B\'LET/3CZ SPACERS,,,49.00,,,,17.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/14,,,,,,,,,NTB717-S,*ADJUST ME*,,Female,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801192,,Jewellery,simple,,Default Category,base,ASXAS Y MESH 3 CZ SET SPACERS,,,49.50,,,,17.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,NTB717-Y,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801128,,Jewellery,simple,,Default Category,base,ASXAS STRT RND MESH YELLOW BALL,,,50.00,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12,,,,,,,,,NTB604Y,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801151,,Jewellery,simple,,Default Category,base,ASXAS POPCORN ROUND 4.4MM YELLW,,,50.00,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 7/13,,,,,,,,,NTB635Y,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801225,,Jewellery,simple,,Default Category,base,ASXAS YELLOW 6MM LINKED BALL,,,55.00,,,,19.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,NTB773-Y,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801238,,Jewellery,simple,,Default Category,base,ASXAS SILVER 6MM LINKED BALL,,,55.00,,,,19.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,NTB773-S,*ADJUST ME*,,Female,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801239,,Jewellery,simple,,Default Category,base,ASXAS ROSE 6MM LINKED BALL,,,55.00,,,,19.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,NTB773-R,*ADJUST ME*,,Female,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
